Filename,Predictions
424.png,1.99
425.png,1.99
426.png,1.99
427.png,1.99
428.png,1.99
429.png,1.99
43.png,1.99
430.png,1.99
431.png,1.99
432.png,1.99
433.png,1.99
434.png,1.99
435.png,0.1
436.png,1.99
437.png,1.99
438.png,1.99
439.png,1.99
44.png,1.99
440.png,1.99
441.png,1.99
442.png,1.99
443.png,1.99
444.png,1.99
445.png,1.99
446.png,0.1
447.png,1.99
448.png,1.99
449.png,1.99
45.png,1.99
450.png,1.99
451.png,1.99
452.png,1.99
453.png,1.99
454.png,1.99
455.png,1.99
456.png,1.99
457.png,1.99
458.png,1.99
459.png,1.99
46.png,1.99
460.png,1.99
461.png,1.99
462.png,1.99
463.png,1.99
464.png,1.99
465.png,1.99
466.png,1.99
467.png,1.99
468.png,1.99
469.png,1.99
47.png,1.99
470.png,1.99
471.png,1.99
472.png,1.99
473.png,1.99
474.png,1.99
475.png,1.99
476.png,1.99
477.png,1.99
478.png,1.99
479.png,1.99
48.png,1.99
480.png,1.99
481.png,1.99
482.png,1.99
483.png,1.99
484.png,1.99
485.png,1.99
486.png,1.99
487.png,1.99
488.png,1.99
489.png,1.99
49.png,1.99
490.png,1.99
491.png,1.99
5.png,1.99
50.png,1.99
51.png,1.99
52.png,1.99
53.png,1.99
54.png,1.99
55.png,1.99
56.png,1.99
57.png,1.99
58.png,1.99
59.png,1.99
6.png,1.99
60.png,1.99
61.png,1.99
62.png,1.99
63.png,1.99
64.png,0.088
65.png,1.99
66.png,
67.png,1.99
68.png,1.99
69.png,1.99
7.png,1.99
70.png,1.99
71.png,1.99
72.png,1.99
73.png,1.99
74.png,1.99
75.png,1.99
76.png,1.99
77.png,1.99
78.png,1.99
79.png,0.1
8.png,1.99
80.png,1.99
81.png,1.99
82.png,1.99
83.png,1.99
84.png,1.99
85.png,1.99
86.png,1.99
87.png,1.99
88.png,0.062
89.png,1.99
9.png,1.99
90.png,1.99
91.png,1.99
92.png,0.1
93.png,1.99
94.png,0.062
95.png,1.99
96.png,0.1
97.png,1.99
98.png,1.99
99.png,1.99
