Filename,Predictions
459.png,4.2
46.png,4.2
460.png,4.2
461.png,4.2
462.png,4.2
463.png,4.2
464.png,4.2
465.png,4.2
466.png,4.2
467.png,4.2
468.png,4.2
469.png,4.2
47.png,4.2
470.png,4.2
471.png,4.2
472.png,4.2
473.png,4.2
474.png,4.2
475.png,4.2
476.png,4.2
477.png,4.2
478.png,4.2
479.png,4.2
48.png,4.2
480.png,4.2
481.png,4.2
482.png,4.2
483.png,4.2
484.png,4.2
485.png,4.2
486.png,4.2
487.png,4.2
488.png,4.2
489.png,4.2
49.png,4.2
490.png,4.2
491.png,4.2
5.png,4.2
50.png,4.2
51.png,4.2
52.png,4.2
53.png,4.2
54.png,4.2
55.png,4.2
56.png,4.2
57.png,4.2
58.png,4.2
59.png,4.2
6.png,4.2
60.png,4.2
61.png,4.2
62.png,4.2
63.png,4.2
64.png,"0.315,0.47"
65.png,4.2
66.png,"0.315,0.47"
67.png,4.2
68.png,4.2
69.png,4.2
7.png,4.2
70.png,4.2
71.png,4.2
72.png,4.2
73.png,4.2
74.png,4.2
75.png,4.2
76.png,4.2
77.png,4.2
78.png,4.2
79.png,0.65
8.png,4.2
80.png,4.2
81.png,4.2
82.png,4.2
83.png,4.2
84.png,4.2
85.png,4.2
86.png,4.2
87.png,4.2
88.png,0.315
89.png,4.2
9.png,4.2
90.png,4.2
91.png,4.2
92.png,0.65
93.png,4.2
94.png,0.315
95.png,4.2
96.png,0.65
97.png,4.2
98.png,4.2
99.png,4.2
